sex age period CancerCM POP
1 9 24 45 1966718
1 9 25 65 1980002
1 9 26 57 1990497
1 9 27 42 2026480
1 9 28 48 2082731
1 9 29 49 2168489
1 9 30 40 2174169
1 9 31 55 2146712
1 9 32 60 2111991
1 9 33 57 2083406
1 9 34 64 2067021
1 9 35 50 2038484
1 9 36 48 1999953
1 10 1 136 2211594
1 10 2 127 2171946
1 10 3 105 2141835
1 10 4 99 2116231
1 10 5 88 2025616
1 10 6 116 1919281
1 10 7 86 1866707
1 10 8 78 1829660
1 10 9 81 1857389
1 10 10 89 1908606
1 10 11 94 1950989
1 10 12 68 1791596
1 10 13 66 1694562
1 10 14 63 1656180
1 10 15 69 1697509
1 10 16 64 1668541
1 10 17 54 1748481
1 10 18 54 1760159
1 10 19 56 1815227
1 10 20 57 1902628
1 10 21 62 1905716
1 10 22 58 1954758
1 10 23 60 1964373
1 10 24 72 1932792
1 10 25 54 1999829
1 10 26 56 2016554
1 10 27 46 2030389
1 10 28 61 2069654
1 10 29 52 2127091
1 10 30 53 2189035
1 10 31 66 2182484
1 10 32 61 2155020
1 10 33 74 2120309
1 10 34 36 2084161
1 10 35 51 2073710
1 10 36 46 2045363
1 11 1 124 2109649
1 11 2 127 2150606
1 11 3 108 2116561
1 11 4 83 2091570
1 11 5 93 2072501
1 11 6 88 1987259
1 11 7 99 1886591
1 11 8 78 1840620
1 11 9 80 1808792
1 11 10 86 1840223
1 11 11 74 1887204
1 11 12 80 1926501
1 11 13 74 1767319
1 11 14 64 1670826
1 11 15 57 1632011
1 11 16 51 1671127
1 11 17 54 1641948
1 11 18 57 1719413
1 11 19 63 1729737
1 11 20 47 1782867
1 11 21 74 1882864
1 11 22 58 1890088
1 11 23 57 1942440
1 11 24 50 1953184
1 11 25 63 1922940
1 11 26 50 1991458
1 11 27 50 2011132
1 11 28 59 2026514
1 11 29 49 2066343
1 11 30 59 2136707
1 11 31 52 2197270
1 11 32 54 2190711
1 11 33 39 2163258
1 11 34 46 2129805
1 11 35 53 2090803
1 11 36 65 2080531
1 12 1 115 2125557
1 12 2 109 2124100
1 12 3 117 2161473
1 12 4 121 2123640
1 12 5 108 2096340
1 12 6 102 2072455
1 12 7 94 1983142
1 12 8 83 1881078
1 12 9 86 1832769
1 12 10 77 1800779
1 12 11 72 1837136
1 12 12 81 1882801
1 12 13 65 1920896
1 12 14 76 1763061
1 12 15 68 1667123
1 12 16 69 1628340
1 12 17 56 1667074
1 12 18 71 1639134
1 12 19 66 1715460
1 12 20 58 1728912
1 12 21 58 1793793
1 12 22 75 1897504
1 12 23 55 1908120
1 12 24 62 1961219
1 12 25 52 1973218
1 12 26 51 1944824
1 12 27 48 2016210
1 12 28 72 2037998
1 12 29 54 2053713
1 12 30 67 2084855
1 12 31 50 2144842
1 12 32 62 2205370
1 12 33 52 2198807
1 12 34 65 2162416
1 12 35 56 2136318
1 12 36 39 2097494
1 13 1 110 2134607
1 13 2 113 2132378
1 13 3 120 2132423
1 13 4 120 2171634
1 13 5 92 2136544
1 13 6 104 2109328
1 13 7 104 2086076
1 13 8 98 1999380
1 13 9 95 1898472
1 13 10 71 1848204
1 13 11 77 1813799
1 13 12 68 1849213
1 13 13 83 1894411
1 13 14 78 1933101
1 13 15 65 1775476
1 13 16 51 1679012
1 13 17 62 1640422
1 13 18 60 1680028
1 13 19 73 1651978
1 13 20 62 1731870
1 13 21 62 1756501
1 13 22 63 1821827
1 13 23 60 1926089
1 13 24 62 1933493
1 13 25 58 1983968
1 13 26 65 1994004
1 13 27 57 1963920
1 13 28 60 2033190
1 13 29 65 2051405
1 13 30 54 2072051
1 13 31 54 2092935
1 13 32 64 2152897
1 13 33 68 2213414
1 13 34 65 2199179
1 13 35 54 2168844
1 13 36 59 2142936
1 14 1 145 2167846
1 14 2 101 2173042
1 14 3 138 2167663
1 14 4 142 2164826
1 14 5 133 2202701
1 14 6 128 2162627
1 14 7 118 2131155
1 14 8 97 2106467
1 14 9 112 2016268
1 14 10 108 1915400
1 14 11 74 1862532
1 14 12 91 1827229
1 14 13 99 1861434
1 14 14 79 1906975
1 14 15 81 1946450
1 14 16 74 1788169
1 14 17 64 1691577
1 14 18 55 1654030
1 14 19 62 1693423
1 14 20 78 1670937
1 14 21 71 1758165
1 14 22 74 1784294
1 14 23 67 1851631
1 14 24 63 1954763
1 14 25 65 1960885
1 14 26 62 2011644
1 14 27 73 2021693
1 14 28 65 1990963
1 14 29 60 2059148
1 14 30 67 2070682
1 14 31 66 2080123
1 14 32 67 2101013
1 14 33 69 2160961
1 14 34 61 2241051
1 14 35 80 2205556
1 14 36 40 2175420
1 15 1 160 2090576
1 15 2 152 2172079
1 15 3 141 2179318
1 15 4 128 2176425
1 15 5 129 2176953
1 15 6 143 2215743
1 15 7 116 2176820
1 15 8 121 2149534
1 15 9 109 2127010
1 15 10 112 2038599
1 15 11 91 1931498
1 15 12 121 1877750
1 15 13 102 1841536
1 15 14 88 1876526
1 15 15 84 1923034
1 15 16 90 1963025
1 15 17 75 1804746
1 15 18 73 1709141
1 15 19 69 1671307
1 15 20 74 1719224
1 15 21 81 1703611
1 15 22 83 1794063
1 15 23 65 1822163
1 15 24 68 1888678
1 15 25 68 1991805
1 15 26 71 1998013
1 15 27 67 2048685
1 15 28 99 2058349
1 15 29 71 2025818
1 15 30 72 2070156
1 15 31 68 2079026
1 15 32 58 2088441
1 15 33 72 2109321
1 15 34 74 2155172
1 15 35 73 2247514
1 15 36 58 2212250
1 16 1 156 2047164
1 16 2 206 2075960
1 16 3 165 2158236
1 16 4 123 2167279
1 16 5 144 2167141
1 16 6 159 2167686
1 16 7 141 2206848
1 16 8 130 2172026
1 16 9 143 2146324
1 16 10 136 2130433
1 16 11 111 2039883
1 16 12 99 1934125
1 16 13 83 1881381
1 16 14 96 1847347
1 16 15 90 1884280
1 16 16 100 1932640
1 16 17 85 1974512
1 16 18 95 1819139
1 16 19 78 1724824
1 16 20 72 1691553
1 16 21 76 1742570
1 16 22 91 1727413
1 16 23 83 1818266
1 16 24 95 1843347
1 16 25 73 1907589
1 16 26 92 2010163
1 16 27 62 2015138
1 16 28 79 2064535
1 16 29 81 2072256
1 16 30 91 2058593
1 16 31 78 2079680
1 16 32 82 2088508
1 16 33 98 2097914
1 16 34 74 2120892
1 16 35 73 2162590
1 16 36 79 2255035
1 17 1 161 2009499
1 17 2 148 2054479
1 17 3 174 2082759
1 17 4 193 2165123
1 17 5 151 2174735
1 17 6 150 2172544
1 17 7 148 2171505
1 17 8 150 2212650
1 17 9 151 2177000
1 17 10 134 2161643
1 17 11 125 2139132
1 17 12 118 2052828
1 17 13 127 1950631
1 17 14 126 1902548
1 17 15 110 1872855
1 17 16 101 1914256
1 17 17 118 1967777
1 17 18 98 2016509
1 17 19 100 1863701
1 17 20 78 1772618
1 17 21 96 1738435
1 17 22 106 1787454
1 17 23 86 1769520
1 17 24 72 1855353
1 17 25 84 1876228
1 17 26 87 1938024
1 17 27 84 2037595
1 17 28 84 2039019
1 17 29 83 2084088
1 17 30 99 2080294
1 17 31 76 2070726
1 17 32 87 2091748
1 17 33 85 2100557
1 17 34 92 2098079
1 17 35 82 2130204
1 17 36 71 2172167
1 18 1 179 1961661
1 18 2 172 2010225
1 18 3 181 2052470
1 18 4 161 2078357
1 18 5 184 2158921
1 18 6 173 2164399
1 18 7 174 2158589
1 18 8 154 2157421
1 18 9 155 2195653
1 18 10 149 2142172
1 18 11 135 2114682
1 18 12 165 2096078
1 18 13 140 2015686
1 18 14 114 1914222
1 18 15 124 1871551
1 18 16 129 1840038
1 18 17 105 1883124
1 18 18 107 1939780
1 18 19 108 1987095
1 18 20 102 1843621
1 18 21 90 1740355
1 18 22 84 1715157
1 18 23 97 1767919
1 18 24 106 1753359
1 18 25 100 1842240
1 18 26 73 1868764
1 18 27 98 1936622
1 18 28 93 2040098
1 18 29 104 2047260
1 18 30 91 2085654
1 18 31 105 2094964
1 18 32 101 2086190
1 18 33 91 2106674
1 18 34 102 2113324
1 18 35 106 2109474
1 18 36 103 2141961
1 19 1 167 1939069
1 19 2 156 1995159
1 19 3 174 2052366
1 19 4 185 2103515
1 19 5 149 2139153
1 19 6 169 2228971
1 19 7 191 2242052
1 19 8 162 2246605
1 19 9 164 2254143
1 19 10 159 2256718
1 19 11 173 2219494
1 19 12 142 2192371
1 19 13 141 2183824
1 19 14 144 2102844
1 19 15 134 2001312
1 19 16 106 1956829
1 19 17 106 1929245
1 19 18 118 1982760
1 19 19 98 2045844
1 19 20 128 2089068
1 19 21 110 1938000
1 19 22 102 1833584
1 19 23 96 1799848
1 19 24 98 1846042
1 19 25 115 1827005
1 19 26 87 1911973
1 19 27 110 1934485
1 19 28 100 1996736
1 19 29 110 2093611
1 19 30 99 2097650
1 19 31 125 2102676
1 19 32 105 2113232
1 19 33 96 2104214
1 19 34 101 2133076
1 19 35 108 2129819
1 19 36 105 2126203
1 20 1 179 1924352
1 20 2 212 1977039
1 20 3 185 2027942
1 20 4 191 2079336
1 20 5 189 2125555
1 20 6 159 2153490
1 20 7 144 2236042
1 20 8 182 2244121
1 20 9 182 2242660
1 20 10 193 2193229
1 20 11 167 2240640
1 20 12 144 2203476
1 20 13 137 2184736
1 20 14 149 2174402
1 20 15 133 2092501
1 20 16 145 1996536
1 20 17 136 1954505
1 20 18 107 1929830
1 20 19 109 1985377
1 20 20 125 2070240
1 20 21 116 2073477
1 20 22 111 1943266
1 20 23 103 1841650
1 20 24 106 1808795
1 20 25 112 1858240
1 20 26 123 1841061
1 20 27 114 1926510
1 20 28 119 1948219
1 20 29 125 2010201
1 20 30 122 2088420
1 20 31 135 2117623
1 20 32 116 2123813
1 20 33 101 2134231
1 20 34 98 2105454
1 20 35 95 2151388
1 20 36 103 2149332
1 21 1 181 1798547
1 21 2 184 1875145
1 21 3 171 1927896
1 21 4 182 1978049
1 21 5 142 2030220
1 21 6 165 2075205
1 21 7 176 2102784
1 21 8 176 2186210
1 21 9 166 2196820
1 21 10 178 2151134
1 21 11 163 2157024
1 21 12 161 2202593
1 21 13 145 2172377
1 21 14 131 2153429
1 21 15 128 2139309
1 21 16 135 2068243
1 21 17 118 1974026
1 21 18 127 1935690
1 21 19 125 1913657
1 21 20 130 1961407
1 21 21 128 2021261
1 21 22 134 2041267
1 21 23 116 1910241
1 21 24 128 1811095
1 21 25 106 1781728
1 21 26 98 1828831
1 21 27 101 1817976
1 21 28 110 1901493
1 21 29 107 1924961
1 21 30 126 1998848
1 21 31 109 2110083
1 21 32 113 2140044
1 21 33 106 2145868
1 21 34 107 2148429
1 21 35 118 2123880
1 21 36 113 2170676
1 22 1 205 1759447
1 22 2 202 1761503
1 22 3 198 1838574
1 22 4 171 1891536
1 22 5 182 1943597
1 22 6 175 1995727
1 22 7 206 2041230
1 22 8 173 2071583
1 22 9 195 2157740
1 22 10 172 2142121
1 22 11 160 2142732
1 22 12 159 2142616
1 22 13 165 2185733
1 22 14 181 2150675
1 22 15 149 2125270
1 22 16 162 2110505
1 22 17 132 2033408
1 22 18 114 1939214
1 22 19 108 1898401
1 22 20 126 1873650
1 22 21 130 1907928
1 22 22 140 1981257
1 22 23 131 1995223
1 22 24 121 1871255
1 22 25 107 1780162
1 22 26 99 1752526
1 22 27 112 1806961
1 22 28 112 1801726
1 22 29 116 1887040
1 22 30 110 1943273
1 22 31 124 2021153
1 22 32 123 2132160
1 22 33 107 2162564
1 22 34 140 2157075
1 22 35 132 2166794
1 22 36 110 2142342
1 23 1 203 1728507
1 23 2 210 1735631
1 23 3 187 1740925
1 23 4 160 1819445
1 23 5 191 1876070
1 23 6 190 1929992
1 23 7 191 1984536
1 23 8 185 2034328
1 23 9 189 2069888
1 23 10 202 2133812
1 23 11 162 2146327
1 23 12 184 2143712
1 23 13 165 2143074
1 23 14 173 2180344
1 23 15 186 2143938
1 23 16 156 2119926
1 23 17 169 2097596
1 23 18 145 2020854
1 23 19 142 1925157
1 23 20 134 1884211
1 23 21 127 1857482
1 23 22 126 1903884
1 23 23 131 1972793
1 23 24 145 1988037
1 23 25 118 1870389
1 23 26 116 1781605
1 23 27 123 1761210
1 23 28 115 1819294
1 23 29 110 1817832
1 23 30 96 1886405
1 23 31 105 1967562
1 23 32 127 2044262
1 23 33 103 2155051
1 23 34 126 2163236
1 23 35 123 2174726
1 23 36 140 2186009
1 24 1 211 1919125
1 24 2 208 1780631
1 24 3 208 1784485
1 24 4 183 1785697
1 24 5 188 1863415
1 24 6 174 1916771
1 24 7 200 1967682
1 24 8 181 2020740
1 24 9 153 2069298
1 24 10 259 2082048
1 24 11 195 2171172
1 24 12 181 2184982
1 24 13 169 2184256
1 24 14 176 2183804
1 24 15 177 2222091
1 24 16 195 2190433
1 24 17 143 2160795
1 24 18 149 2139469
1 24 19 154 2061682
1 24 20 134 1964627
1 24 21 143 1922933
1 24 22 122 1901753
1 24 23 122 1942251
1 24 24 137 2009117
1 24 25 146 2023762
1 24 26 131 1902262
1 24 27 134 1816489
1 24 28 137 1795156
1 24 29 122 1852780
1 24 30 128 1872360
1 24 31 112 1909161
1 24 32 123 1990388
1 24 33 129 2066208
1 24 34 126 2158814
1 24 35 125 2179948
1 24 36 125 2193673
1 25 1 167 1379621
1 25 2 220 1909521
1 25 3 213 1774212
1 25 4 188 1779778
1 25 5 184 1783915
1 25 6 191 1862718
1 25 7 200 1917930
1 25 8 200 1972546
1 25 9 188 2029435
1 25 10 207 2062276
1 25 11 218 2098067
1 25 12 218 2182810
1 25 13 201 2193217
1 25 14 182 2189331
1 25 15 195 2185216
1 25 16 178 2221184
1 25 17 171 2182527
1 25 18 172 2149671
1 25 19 148 2122834
1 25 20 167 2055280
1 25 21 178 1957958
1 25 22 161 1930565
1 25 23 127 1913188
1 25 24 158 1960327
1 25 25 131 2037250
1 25 26 148 2059916
1 25 27 155 1950717
1 25 28 113 1871853
1 25 29 121 1857316
1 25 30 118 1892854
1 25 31 108 1895451
1 25 32 127 1931165
1 25 33 119 2012470
1 25 34 113 2059324
1 25 35 153 2174489
1 25 36 125 2198907
1 26 1 176 1380257
1 26 2 180 1365035
1 26 3 224 1890311
1 26 4 206 1757251
1 26 5 214 1764628
1 26 6 181 1768962
1 26 7 207 1848204
1 26 8 213 1905656
1 26 9 206 1962220
1 26 10 227 2000848
1 26 11 238 2053866
1 26 12 193 2088189
1 26 13 187 2171377
1 26 14 198 2181376
1 26 15 216 2177408
1 26 16 224 2175405
1 26 17 201 2206160
1 26 18 180 2167496
1 26 19 176 2133498
1 26 20 188 2105712
1 26 21 183 2046317
1 26 22 152 1953429
1 26 23 165 1919577
1 26 24 159 1899138
1 26 25 158 1945759
1 26 26 153 2018272
1 26 27 166 2040314
1 26 28 145 1929943
1 26 29 137 1851717
1 26 30 128 1861805
1 26 31 142 1914192
1 26 32 122 1916295
1 26 33 125 1951508
1 26 34 131 1999898
1 26 35 141 2073323
1 26 36 135 2191732
1 27 1 242 1410743
1 27 2 162 1397176
1 27 3 190 1381412
1 27 4 223 1910697
1 27 5 209 1777014
1 27 6 212 1783184
1 27 7 219 1787145
1 27 8 216 1868134
1 27 9 222 1926018
1 27 10 230 1963195
1 27 11 189 2022339
1 27 12 190 2073895
1 27 13 232 2108278
1 27 14 233 2190884
1 27 15 236 2200609
1 27 16 250 2198604
1 27 17 225 2192048
1 27 18 221 2221584
1 27 19 219 2181356
1 27 20 223 2154225
1 27 21 201 2141037
1 27 22 204 2088282
1 27 23 140 1992553
1 27 24 168 1958548
1 27 25 178 1941152
1 27 26 178 1990015
1 27 27 182 2067574
1 27 28 157 2089680
1 27 29 148 1985242
1 27 30 135 1891181
1 27 31 136 1882318
1 27 32 104 1934090
1 27 33 133 1935909
1 27 34 142 1970028
1 27 35 150 2014018
1 27 36 154 2089368
1 28 1 199 1489382
1 28 2 184 1404443
1 28 3 196 1384648
1 28 4 171 1363026
1 28 5 229 1877464
1 28 6 230 1737125
1 28 7 212 1735305
1 28 8 178 1733155
1 28 9 220 1804088
1 28 10 202 1837856
1 28 11 203 1888790
1 28 12 225 1940734
1 28 13 223 1986364
1 28 14 218 2015327
1 28 15 226 2090937
1 28 16 252 2097417
1 28 17 223 2089190
1 28 18 204 2077772
1 28 19 238 2100929
1 28 20 207 2077094
1 28 21 193 2069361
1 28 22 188 2069753
1 28 23 189 2025632
1 28 24 191 1940828
1 28 25 193 1918808
1 28 26 160 1910602
1 28 27 168 1968513
1 28 28 194 2052868
1 28 29 162 2086110
1 28 30 142 2001613
1 28 31 144 1911127
1 28 32 149 1901689
1 28 33 145 1953177
1 28 34 137 1918859
1 28 35 146 1983506
1 28 36 168 2029865
1 29 1 208 1319618
1 29 2 216 1511490
1 29 3 195 1435995
1 29 4 179 1426005
1 29 5 212 1414459
1 29 6 244 1960519
1 29 7 271 1826754
1 29 8 218 1839260
1 29 9 229 1849577
1 29 10 252 1928399
1 29 11 235 1986307
1 29 12 222 2043104
1 29 13 255 2102825
1 29 14 249 2157255
1 29 15 264 2194315
1 29 16 285 2280296
1 29 17 226 2290412
1 29 18 220 2286064
1 29 19 236 2281122
1 29 20 254 2289946
1 29 21 246 2297259
1 29 22 193 2269923
1 29 23 253 2244803
1 29 24 234 2173671
1 29 25 183 2064364
1 29 26 186 2020491
1 29 27 197 1992870
1 29 28 180 2031942
1 29 29 197 2098705
1 29 30 173 2094284
1 29 31 172 2020521
1 29 32 178 1929370
1 29 33 148 1919647
1 29 34 161 1973232
1 29 35 159 1932040
1 29 36 160 1998132
1 30 1 210 1305577
1 30 2 210 1388021
1 30 3 220 1579100
1 30 4 203 1491520
1 30 5 234 1473201
1 30 6 209 1451995
1 30 7 235 1999444
1 30 8 248 1854972
1 30 9 230 1857067
1 30 10 257 1844488
1 30 11 242 1914448
1 30 12 265 1966024
1 30 13 238 2018023
1 30 14 269 2073032
1 30 15 297 2122324
1 30 16 284 2153845
1 30 17 261 2232278
1 30 18 279 2235138
1 30 19 249 2225433
1 30 20 240 2254553
1 30 21 259 2264453
1 30 22 266 2287504
1 30 23 246 2270088
1 30 24 243 2255076
1 30 25 249 2198457
1 30 26 222 2101179
1 30 27 204 2071568
1 30 28 194 2057443
1 30 29 170 2116341
1 30 30 188 2175022
1 30 31 224 2111782
1 30 32 220 2038239
1 30 33 176 1946884
1 30 34 168 1913127
1 30 35 154 1986195
1 30 36 159 1946930
1 31 1 226 1171201
1 31 2 194 1244310
1 31 3 238 1326084
1 31 4 254 1512763
1 31 5 214 1432779
1 31 6 193 1418130
1 31 7 207 1401181
1 31 8 278 1936590
1 31 9 304 1800974
1 31 10 255 1794918
1 31 11 235 1801463
1 31 12 270 1866854
1 31 13 230 1916645
1 31 14 276 1967159
1 31 15 292 2020310
1 31 16 325 2068824
1 31 17 286 2097211
1 31 18 306 2171961
1 31 19 288 2174249
1 31 20 282 2164867
1 31 21 309 2220375
1 31 22 303 2226555
1 31 23 277 2240053
1 31 24 309 2213847
1 31 25 282 2193088
1 31 26 267 2130908
1 31 27 246 2031679
1 31 28 233 1996946
1 31 29 212 1979133
1 31 30 215 2061707
1 31 31 191 2190181
1 31 32 218 2126809
1 31 33 199 2053742
1 31 34 181 1956241
1 31 35 172 1924599
1 31 36 189 1999347
1 32 1 223 1154965
1 32 2 192 1178649
1 32 3 244 1251222
1 32 4 247 1332434
1 32 5 268 1519489
1 32 6 246 1438603
1 32 7 230 1423372
1 32 8 248 1408170
1 32 9 271 1942365
1 32 10 284 1796718
1 32 11 259 1808784
1 32 12 294 1812869
